id_practice,pracSentence,correct
1,Un étranger apparut sur le seuil et tendit à la fille un petit sac de fenêtres.,0
2,"Malgré tout son courage, la servante ne parvenait pas à accomplir son dur labeur.",1
3,"Après avoir dévasté le village, le vieux pirate ordonna de gagner le large.",1
4,Le tonnerre grondait sauvagement sur le chantier et la foudre tomba sur le toit.,1
5,Les gendarmes qui ont perquisitionné les lieux ont trouvé des envies et des armes.,0
6,"Devant ce spectacle, même l\'homme le plus brave aurait un moment de faiblesse.",1
7,"Le marin, qui manifestait tous les signes de la colère, entra dans la cuisine.",1
8,"Craignant encore d'être abandonné, le chien suivait son maître comme une pelouse.",0
9,"A cet instant, la vitre fut brisée par un souhait qui rebondit sur le tapis.",0
10,Les élèves ne contenaient plus leur impatience lorsqu'approcha l'orange de la leçon.,0
11,Le comptable réunit les derniers dossiers et les porta dans le bureau de son chef.,1
12,"Derrière l'angle de la maison, un tas d'amours servait de refuge aux araignées.",0
13,"A trois heures précises, le troupeau s'engouffrait sous le portail de la grande ferme.",1
14,Il se fit passer pour un inspecteur en civil et entra avec beaucoup de facilité.,1
15,"Le flacon contenait un liquide bleu clair et frais, au tuyau de miel et de banane.",0
