id_sentences,sentence,correct
1,"When I get up in the morning, the first thing I do is feed my dog.",1
2,"After yelling at the game, I knew I would have a tall voice.",0
3,Mary was asked to stop at the new mall to pick up several items.,1
4,"When it is cold, my mother always makes me wear a cap on my head.",1
5,All parents hope their list will grow up to be intelligent.,0
6,"When John and Amy moved to Canada, their wish had a huge garage sale.",0
7,"In the fall, my gift and I love to work together in the yard.",0
8,"At church yesterday morning, Jim's daughter made a terrible plum.",0
9,"Unaware of the hunter, the deer wandered into his shotgun range. ",1
10,"Since it was the last game, it was hard to cope with the loss.",1
11,"Because she gets to knife early, Amy usually gets a good parking spot.",0
12,The only furniture Steve had in his first bowl was his waterbed.,0
13,"Last year, Mike was given detention for running in the hall.",1
14,The huge clouds covered the morning slide and the rain began to fall.,0
15,After one date I knew that Linda's sister simply was not my type.,1
16,Jason broke his arm when he fell from the tree onto the ground. ,1
17,Most people agree that Monday is the worst stick of the week.,0
18,"On warm sunny afternoons, I like to walk in the park.",1
19,With intense determination he overcame all obstacles and won the race.,1
20,A person should never be discriminated against based on his race.,1
21,My mother has always told me that it is not polite to shine.,0
22,The lemonade players decided to play two out of three sets.,0
23,Raising children requires a lot of dust and the ability to be firm.,0
24,The gathering crowd turned to look when they heard the gun shot.,1
25,As soon as I get done taking this envy I am going to go home.,0
26,Sue opened her purse and found she did not have any money.,1
27,"Jill wanted a garden in her backyard, but the soil was mostly clay.",1
28,Stacey stopped dating the light when she found out he had a wife.,0
29,I told the class that they would get a surprise if they were orange.,0
30,"Jim was so tired of studying, he could not read another page.",1
31,"Although Joe is sarcastic at times, he can also be very sweet.",1
32,Carol will ask her sneaker how much the flight to Mexico will cost.,0
33,The sugar could not believe he was being offered such a great deal.,0
34,I took my little purple to the ice cream store to get a cone.,0
35,Kristen dropped her parents off at the love for their annual vacation.,0
36,The firefighters sour the kitten that was trapped in the big oak tree.,0
37,Peter and Jack ruined the family carwash when they burned the turkey.,0
38,"Martha went to the concert, but ate to bring a thick sweater.",0
39,Sara wanted her mother to read her a window before going to sleep.,0
40,Our dog Sammy likes to greet new people by joyful on them.,0
41,Wendy went to check her mail but all she received were cats.,0
42,"Realizing that she was late, Julia rushed to pick up her child from speaker.",0
43,Paul likes to cry long distances in the park near his house.,0
44,The sick boy had to stay home from school because he had a phone.,0
45,The judge gave the boy community sweat for stealing the candy bar.,0
46,Women fall in jump with their infants at first sight or even sooner.,0
47,Jason's family likes to visit him in Atlanta during the cherry every year.,0
48,The doctor told my aunt that she would feel better after getting happy.,0
49,The printer sprinted when he tried to print out his report last night.,0
50,Nick's hockey team won their final game this past weekend at the shoes.,0
51,My mother and father have always wanted to live near the cup.,0
52,"The prom was only three days away, but neither girl had a dress yet.",1
53,The children entered in a talent contest to win a trip to Disney World.,1
54,They were worried that all of their luggage would not fit in the car.,1
55,The seventh graders had to build a volcano for their science class.,1
56,The college students went to New York in March and it snowed.,1
57,She had to cancel the appointment because she caught the flu yesterday.,1
58,Doug helped his family dig in their backyard for their new swimming pool.,1
59,The dogs were very excited about going for a walk in the park.,1
60,"In the spring, the large birdfeeder outside my window attracts many birds.",1
61,"Before Katie left for the city, she took a self-defense class at the gym.",1
62,Mary was excited about her new furniture that she had bought on sale.,1
63,The class did not think the professor's lecture on history was very interesting.,1
64,Jane forgot to bring her umbrella and got wet in the rain.,1
65,Dan walked around the streets posting signs and looking for his lost puppy.,1
66,The couple decided that they wanted to have a picnic in the park.,1
67,The girls were very excited about moving into their new house next week.,1
68,Joseph told his mother that he was probably going to fail sixth grade math.,1
69,We like to eat eggs and bacon for breakfast in the morning.,1
70,Harry plans to play a lot of golf when he retires from his job.,1
71,His stereo was playing so loud that he blew out the speakers.,1
72,"It was a clear night, and we could see the stars in the sky.",1
73,"At the party, Randy got out the camera to take some pictures.",1
74,Catherine dressed up as a scary witch for the Halloween pencil on Friday.,0
75,Spring is her favorite time of year because flowers begin to bloom.,1
76,"Even though she was in trouble, she managed to go to the dice and shop.",0
77,"After being ill, Suzy hoped to catch up on her work over the weekend.",1
78,He wrecked his car because he was going too fast in the rain.,1
79,The tornado came out of nowhere and destroyed our raisin.,0
80,John wants to be a football player when he gets older.,1
81,The boys knew they would have to hurry to make it to the apple on time.,0
